Title_ID,Name,Editions
BCES-00001,Resistance: Fall of Man,Essentials Original Platinum
BCES-00002,Genji: Days of the Blade,Original
BCES-00004,Lair,Original
BCES-00005,Formula One: Championship Edition,Original
BCES-00006,MotorStorm,Original Platinum
BCES-00007,The Eye of Judgment,Original PlayStation Camera Bundle
BCES-00008,Warhawk,Headset Bundle Original
BCES-00009,Ridge Racer 7,Original Platinum Promo
BCES-00011,SingStar,Original
BCES-00030,SingStar,Original
BCES-00031,SingStar,Original
BCES-00032,SingStar,Original
BCES-00050,Folklore,Original
BCES-00051,SingStar,Original
BCES-00052,Ratchet & Clank: Tools of Destruction,Original Platinum
BCES-00057,Time Crisis 4,Bundled with GunCon 3
BCES-00065,Uncharted: Drake's Fortune,Original Platinum
BCES-00068,Everybody's Golf 5,Original
BCES-00069,EyeCreate,Original
BCES-00078,Heavenly Sword,Original
BCES-00081,Killzone 2,Original Platinum
BCES-00096,PlayTV,Original
BCES-00098,Buzz! Quiz TV,Original
BCES-00099,Buzz! Quiz TV,Original
BCES-00100,BIG! Quiz TV,Original
BCES-00104,Gran Turismo 5: Prologue,Original
BCES-00112,NBA 08,Original
BCES-00123,Heavenly Sword,Original
BCES-00129,MotorStorm: Pacific Rift,Original
BCES-00141,LittleBigPlanet,Promo
BCES-00173,SOCOM: Confrontation,Original
BCES-00185,SingStar Vol. 2,Bundled with ? Original
BCES-00195,Buzz! Quiz TV,Original
BCES-00216,SingStar Vol. 3,Original
BCES-00220,inFamous,Original
BCES-00225,White Knight Chronicles,Original
BCES-00226,Resistance 2,Original
BCES-00233,SingStar Vol. 2,Original
BCES-00234,SingStar Vol. 2,Original
BCES-00235,SingStar Vol. 2,Original
BCES-00264,SingStar Hits,Original
BCES-00265,SingStar Vol. 3,Original
BCES-00266,SingStar Vol. 3,Original
BCES-00267,SingStar Vol. 3,Original
BCES-00293,SingStar: Pop Edition,Original
BCES-00294,Siren: Blood Curse,Original
BCES-00301,Ratchet & Clank: Quest for Booty,Original
BCES-00303,Buzz! Quiz TV,Special Edition
BCES-00304,Buzz! Quiz TV,Special Edition
BCES-00305,Buzz! Quiz TV,Special Edition
BCES-00341,SingStar: Pop Edition,Original
BCES-00342,SingStar Pop 2009,Original
BCES-00343,SingStar Svenska Stjärnor,Original
BCES-00344,SingStar SuomiPop,Original
BCES-00345,SingStar A Tutto Pop,Original
BCES-00346,SingStar Hits 2,Original
BCES-00347,Buzz! Brain of the UK,Original
BCES-00348,Buzz! Le Plus Malin des Français,Original
BCES-00349,Buzz! Il Quizzone Nazionale,Original
BCES-00350,Buzz! Deutschlands Superquiz,Original
BCES-00351,Buzz! ¿Qué Sabes de tu País?,Original Promo
BCES-00363,Buzz! Brain of Oz,Original
BCES-00364,Buzz! Brain of the World,Original Original Original
BCES-00365,Buzz! Brain of Switzerland,Original
BCES-00366,Buzz! Brain of the World,Original Original Original Original
BCES-00367,Buzz! Brain of the World,Original
BCES-00381,SingStar ABBA,Original
BCES-00423,SingStar ABBA,Original
BCES-00440,Buzz! Quiz World,Original
BCES-00458,Heavy Rain,Original Special Edition Essentials Original
BCES-00459,Buzz! Brain of the World,Original Promo Original Original Original
BCES-00463,The Shoot,Original
BCES-00483,EyePet,Original
BCES-00484,MotorStorm: Apocalypse,Original Platinum Review Code
BCES-00494,SingStar Queen,Original
BCES-00509,Uncharted 2: Among Thieves,Original
BCES-00510,God of War III,Original
BCES-00511,Ratchet & Clank: A Crack in Time,Original
BCES-00518,SingStar Morangos com Açúcar,Original
BCES-00519,SingStar Mallorca Party,Original
BCES-00520,SingStar Studio 100,Original
BCES-00531,SingStar Polskie Hity,Original
BCES-00548,Pain,Original
BCES-00558,MAG,Original
BCES-00569,Gran Turismo 5,Original Press Kit
BCES-00583,SingStar Mecano,Original
BCES-00591,inFamous,Original
BCES-00596,SingStar Motown,Original
BCES-00598,TV Superstars,Original
BCES-00607,SingStar Take That,Original
BCES-00609,inFamous,Special Edition
BCES-00611,LittleBigPlanet: Game of the Year Edition,Original
BCES-00614,SingStar Made in Germany,Original
BCES-00617,SingStar Starter Pack,Original
BCES-00621,SingStar Starter Pack,Original
BCES-00622,SingStar Intro,Original
BCES-00624,SingStar Starter Pack,Original
BCES-00625,SingStar Starter Pack,Original
BCES-00634,SingStar The Wiggles,Original
BCES-00640,SingStar Chartbreaker,Original
BCES-00642,Ghostbusters: The Video Game,Original
BCES-00644,Buzz! Quiz World,Original
BCES-00645,Buzz! Concurso Universal,Original
BCES-00646,Buzz! Quiz World,Original
BCES-00647,Buzz! Quiz World,Original
BCES-00664,WipEout HD Fury,Original
BCES-00701,ModNation Racers,Original
BCES-00722,SingStar Vasco,Original
BCES-00726,Ratchet & Clank: A Crack in Time,Platinum
BCES-00727,Uncharted 2: Among Thieves,Original Platinum
BCES-00747,Start the Party!,Original
BCES-00748,Ratchet & Clank: A Crack in Time,Original Platinum
BCES-00757,Uncharted 2: Among Thieves,Original
BCES-00764,ModNation Racers,Original
BCES-00784,Buzz! The Ultimate Music Quiz,Original
BCES-00791,God of War Collection,Original
BCES-00795,Sports Champions,Original
BCES-00797,Heavy Rain,Original Special Edition Essentials Original Platinum
BCES-00799,God of War III,Original Promo
BCES-00800,God of War Collection,Original
BCES-00802,Heavy Rain,Original Special Edition Essentials Platinum
BCES-00818,MAG,Original
BCES-00819,Sorcery,Original
BCES-00828,Buzz! The Ultimate Music Quiz,Original
BCES-00829,Buzz! The Ultimate Music Quiz,Original Promo
BCES-00830,Buzz! The Ultimate Music Quiz,Original
BCES-00831,Buzz! The Ultimate Music Quiz,Original
BCES-00835,SingStar Guitar,Original
BCES-00846,SingStar Chart Hits,Original
BCES-00847,SingStar SuomiHitit,Original
BCES-00850,LittleBigPlanet 2,Original
BCES-00852,SingStar Kent,Original
BCES-00856,SingStar Polskie Hity 2,Original
BCES-00864,EyePet: Move Edition,Original
BCES-00865,EyePet & Friends,Original
BCES-00869,SingStar Fussballhits,Original
BCES-00871,SingStar Portugal Hits,Original
BCES-00873,SingStar Patito Feo,Original
BCES-00874,The Fight,Original
BCES-00894,SingStar Dance,Original
BCES-00907,Starhawk,Original
BCES-00908,Kung Fu Rider,Original Promo
BCES-00935,Puppeteer,Original
BCES-00938,SOCOM: Special Forces,Promo
BCES-00939,SOCOM: Special Forces,Original
BCES-00943,3D Collection,Demo
BCES-00956,PlayStation Move Heroes,Original
BCES-00968,The Sly Collection,Original
BCES-00969,Start the Party!,Original
BCES-00970,Start the Party!,Original
BCES-00979,SingStar Guitar,Original
BCES-00980,SingStar Guitar,Original
BCES-00981,SingStar Guitar,Original
BCES-00982,The Sly Trilogy,Original
BCES-01007,Killzone 3,Original
BCES-01010,Twisted Metal,Original
BCES-01012,Sports Champions,Original
BCES-01023,SingStar Cantautori Italiani,Original
BCES-01024,SingStar Après-Ski Party 2,Original
BCES-01027,Sorcery,Original
BCES-01029,Kung Fu Rider,Original
BCES-01048,DC Universe Online,Original
BCES-01049,SingStar Dance,Original
BCES-01058,The Shoot,Original
BCES-01070,Time Crisis: Razing Storm,Original
BCES-01072,The Fight,Original
BCES-01077,TV Superstars,Original
BCES-01083,SingStar Afrikaanse Treffers,Original
BCES-01085,White Knight Chronicles II,Original
BCES-01086,LittleBigPlanet 2,Original
BCES-01097,Ico & Shadow of the Colossus,Original
BCES-01103,SingStar Danske Hits,Original
BCES-01104,MotorStorm: Apocalypse,Promo
BCES-01111,Start the Party!,Original
BCES-01115,Ico & Shadow of the Colossus,Original
BCES-01117,PSP Go Promotion Disc,Original
BCES-01118,Resistance 3,Original
BCES-01121,Beyond: Two Souls,Original
BCES-01122,Beyond: Two Souls,Original Review Code Special Edition
BCES-01123,Beyond: Two Souls,Special Edition
BCES-01141,Ratchet & Clank: All 4 One,Original Promo
BCES-01142,Ratchet & Clank: All 4 One,Original
BCES-01143,inFamous 2,Promo
BCES-01144,inFamous 2,Original
BCES-01156,White Knight Chronicles II,Original
BCES-01174,DC Universe Online,Original
BCES-01175,Uncharted 3: Drake's Deception,Original
BCES-01176,Uncharted 3: Drake's Deception,Original
BCES-01180,PlayStation Move Heroes,Original
BCES-01186,Ape Escape,Original
BCES-01229,inFamous 2,Original Special Edition
BCES-01234,Starhawk,Original
BCES-01247,DanceStar Party,Original
BCES-01255,SingStar SuomiSuosikit,Original
BCES-01257,SingStar Back to the 80s,Original
BCES-01258,SingStar Grandes Éxitos,Original
BCES-01273,Start the Party! Save the World,Original
BCES-01274,Start the Party! Save the World,Original
BCES-01277,God of War Collection: Volume II,Classics HD
BCES-01278,God of War Collection: Volume II,Essentials
BCES-01279,Medieval Moves,Original
BCES-01284,Sly Cooper: Thieves in Time,Original
BCES-01285,Sly Cooper: Thieves in Time,Original
BCES-01289,Puppeteer,Original
BCES-01293,Heavy Rain: Édition Modifée,Original
BCES-01325,The Jak and Daxter Trilogy,Original
BCES-01334,Move Mind Benders,Original
BCES-01335,After Hours Athletes,Original Promo
BCES-01336,Medieval Moves,Original
BCES-01337,Move Fitness,Promo
BCES-01345,LittleBigPlanet 2,Special Edition
BCES-01346,LittleBigPlanet 2,Special Edition
BCES-01353,Resistance 3,Original
BCES-01360,DanceStar Party,Original
BCES-01361,DanceStar Party,Original
BCES-01369,Carnival Island,Promo
BCES-01370,Carnival Island,Original
BCES-01400,Twisted Metal,Original
BCES-01422,LittleBigPlanet Karting,Original
BCES-01423,LittleBigPlanet Karting,Original
BCES-01435,PlayStation All-Stars Battle Royale,Original
BCES-01436,PlayStation All-Stars Battle Royale,Original
BCES-01441,SingStar Return to the 80's,Original
BCES-01454,Tekken Hybrid,Original
BCES-01491,EyePet & Friends,Original
BCES-01497,Ra.One: The Game,Original
BCES-01498,Move Street Cricket,Original
BCES-01503,The Ratchet & Clank Trilogy,Original
BCES-01505,DanceStar Party Hits,Original Promo
BCES-01509,Move Fitness,Original
BCES-01531,Wonderbook: Book of Spells,Original
BCES-01556,Until Dawn,Unreleased
BCES-01584,The Last of Us,Original
BCES-01585,The Last of Us,Original
BCES-01594,Ratchet & Clank: QForce,Original
BCES-01598,Sports Champions 2,Original
BCES-01599,Sports Champions 2,Original
BCES-01626,Ratchet & Clank: QForce,Original
BCES-01645,Doctor Who: The Eternity Clock,Original
BCES-01663,LittleBigPlanet 3,Original
BCES-01670,Uncharted 3: Drake's Deception,Game of the Year Edition
BCES-01692,Uncharted 3: Drake's Deception,Game Of The Year Steelbook
BCES-01693,LittleBigPlanet 2: Extras Edition,Original
BCES-01694,LittleBigPlanet 2: Extras Edition,Original
