Title_ID,Title_Name,Sony_Game_Name,Editions,Version,Update_Type,Size_MB,Size_Bytes,Filename,Download_URL,SHA1_Hash
BCES-00004,Lair,Lair,Original,02.10,standard,146.18898010253906,153290256,EP9000-BCES00004_00-1000000000000050-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00004/BCES00004_T12/c5b95055c192545f/EP9000-BCES00004_00-1000000000000050-PE.pkg,12ba27ddd9017cf9ee95e7c7548dec178d76fb08
BCES-00007,The Eye of Judgment,THE EYE OF JUDGMENT™,Original PlayStation Camera Bundle,03.00,standard,3577.000762939453,3750757152,EP9000-BCES00007_00-7000000000000300-A0300-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00007/BCES00007_T0/cea31058097671c1/EP9000-BCES00007_00-7000000000000300-A0300-V0100-PE.pkg,983248e109b16037ab66291f0672ba11eff46e00
BCES-00008,Warhawk,Warhawk™,Headset Bundle Original,01.50,standard,65.59539794921875,68781760,EP9000-BCES00008_00-WARHAWKBDPATCH15-A0150-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00008/BCES00008_T5/1b10a1c50c96070a/EP9000-BCES00008_00-WARHAWKBDPATCH15-A0150-V0100-PE.pkg,55cc82f908cfce8c40c0690732acdc4bfb9bbd5a
BCES-00005,Formula One: Championship Edition,Formula One™ Championship Edition,Original,02.00,standard,32.909637451171875,34508256,EP9000-BCES00005_00-F1CHAMPIONSHIPED-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00005/BCES00005_T10/97cf7e4664392017/EP9000-BCES00005_00-F1CHAMPIONSHIPED-PE.pkg,056f3051119108039ce004a7a549673d4a0f9903
BCES-00009,Ridge Racer 7,RIDGE RACER 7 (UPDATE),Original Platinum Promo,01.01,standard,17.790939331054688,18655152,EP0700-BCES00009_00-STEREO3DPATCHPAC-A0101-V0300-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00009/BCES00009_T0/4e91436c8d04f23b/EP0700-BCES00009_00-STEREO3DPATCHPAC-A0101-V0300-PE.pkg,ecfe68a2d42c877357390e8ab209059e37d8976a
BCES-00050,Folklore,Folklore™,Original,01.10,standard,8.979827880859375,9416032,EP9000-BCES00050_00-FOLKLOREVIBPATCH-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00050/BCES00050_T2/fd2d6d659aeb3796/EP9000-BCES00050_00-FOLKLOREVIBPATCH-PE.pkg,0f3eae9b5053d13f24e89348aaead514172bacd7
BCES-00011,SingStar,SingStar® update,Original,06.00,standard,90.29013061523438,94676064,EP9000-BCES00011_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00011/BCES00011_T142/9c457189089d529b/EP9000-BCES00011_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,c702d0e99244f9bd6467535e2923d359abc02817
BCES-00030,SingStar,SingStar® update,Original,06.00,standard,90.29013061523438,94676064,EP9000-BCES00030_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00030/BCES00030_T129/bba88bbe263f9850/EP9000-BCES00030_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,4edc97d4e223deafd7acbf5e35df8a05d649eafc
BCES-00065,Uncharted: Drake's Fortune,Uncharted: Drake's Fortune™,Original Platinum,01.01,standard,12.734359741210938,13352944,EP9000-BCES00065_00-UNCHARTEDDF1SCEE-A0101-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00065/BCES00065_T3/95bb137fa2ccabab/EP9000-BCES00065_00-UNCHARTEDDF1SCEE-A0101-V0100-PE.pkg,8ae04fb50f958629a89a8aa17d9eb31d92a1a385
BCES-00032,SingStar,SingStar® update,Original,06.00,standard,90.29013061523438,94676064,EP9000-BCES00032_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00032/BCES00032_T128/2667da1932f161fa/EP9000-BCES00032_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,74ddd9a13621e527879b39116f3ad5b66db4ebc6
BCES-00031,SingStar,SingStar® update,Original,06.00,standard,90.29013061523438,94676064,EP9000-BCES00031_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00031/BCES00031_T128/6e4411c411dc2daa/EP9000-BCES00031_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,e026ff9bd13bbe77cedba56907af101063e9a9f8
BCES-00051,SingStar,SingStar® update,Original,06.00,standard,90.29013061523438,94676064,EP9000-BCES00051_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00051/BCES00051_T127/f5ad1e83a2a2754b/EP9000-BCES00051_00-SINGSTARPS3V0600-A0600-V0100-PE.pkg,e7cb93a1e5a17624089b7da8e388a54821d65f05
BCES-00098,Buzz! Quiz TV,Buzz!™: Quiz TV,Original,01.10,standard,344.3989715576172,361128496,EP9000-BCES00098_00-BQC1EFIGSDPLUS02-A0110-V0100-PE.pkg,http://b0.ww.np.dl.playstation.net/tppkg/np/BCES00098/BCES00098_T8/e937814cb33d64d6/EP9000-BCES00098_00-BQC1EFIGSDPLUS02-A0110-V0100-PE.pkg,13df6e5e1d6ea334672097d25170fbc320e5d4d9
